   5California                                          90             23.9041351      32   2   2   2   M   2 Assistant Superintendent                                               Assistant Superintendent                                               Assistant Superintendent                                                                                                                      Assistant Superintendent                                                  C    C    C    1    1    C    1    C    1    C    C    C    2    2    2    2    2    2    2    2    1    2    2    1    2    2    2    2    2    2    2    C    C    C    2    2    2    2    2    2    2    1    1    2    2    2    1    2    2    2    2    2    2    2    2    2    1    1    1    2    2    1    2    2    2    2    2    2    2    1    1    1    2    2    2    2    2    2    2    C    C    C    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    C    C    C    C    C    C    C    C    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    1    C    2    2    2    2    2    2    2    2    C    C    C    C    C    C    1    C    C    1    2    2    2    2    2    2    1    C    2    2    2    1    1    C    C    C    C    C    C    3    1    1    1    1    1    C    C    1    1    1    1    1    1    1    1    1    1    1    C    C    2    C    C    1    C    C    1    2    A    A    A    A    A    A    A    A
   5California                                          92             53.3483772      23   1   M   M   M   2 Superintendent & Principal                                                                                                                                                                                                                                                                  Superintendent & Principal                                                1    C    C    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    2    A    A    A    A    A    A    A    A    A
   5California                                          94             56.5370615      41   2   2   2   M   2 Principal                                                              Principal                                                              Principal                                                                                                                                     Principal                                                                 2    A    A    2    A    A    A    A    A    A    A    A    A    2    2    1    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    1    1    1    2    2    1    2    1    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    1    2    2    2    2    2    2    2    2    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    N    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    1    2    2    2    2    2    2    1    1    2    2    2    2    2    2    2    2    1    1    2    1    2    2    1    3    1    1    2    2    2    2    2    1    2    2
   6Colorado                                            99             27.0447987      43   2   2   2   2   2 Project Director - Health Education                                    Project Director - Health Education                                    Project Director - Health Education                                    Project Director - Health Education                                    Project Director - Health Education                                       2    A    A    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    C    1    2    2    2    2    1    2    2    A    A    A    2    2    2    2    2    2    2    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    1    2    2    2    2    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    1    2    1    2    2    2    2    1    1    2    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    3    3    3    3    3    3    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    3    2    A    A    A    A    A    A    A    A    A
   6Colorado                                           100             25.2304015      33   2   2   2   2   2 Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                            1    1    1    1    2    2    2    2    C    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    2    F    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    2    2    2    2    2    2    2    2    F    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    C    1    1    1    1    C    1    1    1    1    1    1    1    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    C    1    1    1    2    2    2    2    2    C    3    3    3    3    3    3    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    3    2    A    A    A    A    A    A    A    F    A
   6Colorado                                           101             27.0447987      43   2   2   2   2   2 Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                            1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    1    1    1    1    2    1    1    2    1    1    2    1    2    2    2
   6Colorado                                           102             47.1216050      43   2   2   2   2   2 PE & Health Coordinator                                                PE & Health Coordinator                                                PE & Health Coordinator                                                PE & Health Coordinator                                                PE & Health Coordinator                                                   1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    1    2    1    1    2    2    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2
   6Colorado                                           103             35.5952923      43   2   2   M   M   2 Superintendent                                                         School Nurse                                                           Middle School/High School Health/PE Teacher                            Middle School/High School Health/PE Teacher                            Administrative Assistant                                                  2    A    A    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    2    2    1    2    1    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    3    3    2    2    3    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    A    A    A    A    A    A    A    A
   6Colorado                                           105             27.0447987      43   M   M   M   M   2                                                                                                                                                                                                                                                                                             Superintendent                                                            M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    2    2    1    2    2    2    2    2
   7Connecticut                                        107             16.5253347      41   2   2   2   2   2 Director                                                               Director                                                               Director                                                               Director                                                               PE and Health Coordinator                                                 1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    2    2    2    1    1    1    2    2    2    2    2    1    1    A    A    A    2    2    2    1    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    1    1    1    1    1    1    1    2    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    1    1    1    1    2    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    1    1    1    1    1    1    2    2    2    2    2    2    2    1    1    1    1    1    2    2    2    1    1    1    2    2    2    1    2    2    2    1    2    2    1    1    1    2    2    1    1    1    1    2    1    2    1    3    3    3    3    1    1    1    1    2    2    1    2    2    2    2    2    1    2    2    2    2    2    1    2    1    1    2    1    1    1    1    2    2    2    2    1    2
   7Connecticut                                        108             24.5784013      21   2   2   2   1   1 Interim Director of Curriculum                                         Interim Principal                                                      Principal                                                              Principal                                                              District Coordinator                                                      1    1    1    1    2    2    2    1    1    1    1    1    2    1    1    1    2    2    2    2    1    1    1    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1    1    2    1    1    1    1    2    2    1    1    1    2    2    1    1    1    1    2    1    1    1    1    1    1    2    2    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    2    2    1    1    1    1    1    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    1    2
   7Connecticut                                        109             25.4258986      21   2   2   2   2   2 Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                         Superintendent                                                            2    A    A    2    A    A    A    A    A    A    A    A    A    2    2    1    1    2    2    2    2    2    2    1    1    2    1    1    2    1    1    A    A    A    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    2    1    1    2    1    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    1    1    2    1    1    2    2    1    1    1    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    2    1    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1    1    2    2    2    2    2    1    1    1    2    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    2    1    1    2    2    1    2    2    2    2    1    1    1    2    2    2    2    2    1    2
   7Connecticut                                        110             15.6600826      41   M   M   2   2   2 Teacher                                                                Teacher                                                                Teacher                                                                Teacher                                                                Teacher                                                                   M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    1    1    1    1    1    1    1    1    1    1    1    1    1    C    2    1    2    2    1    2    1    1    2    2    1    1    2    1    1    2    1    2    2    2    2    2    2    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    2    1    1    1    2    2    2    2    2    2    1    1    1    2    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    2    A    A    A    A    A    A    A    A    A
   7Connecticut                                        111             32.6814700      31   1   M   M   M   M Athletic Director                                                      Athletic Director                                                      Athletic Director                                                      Athletic Director                                                      Athletic Director                                                         1    1    2    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    C    M    M    M    M    M    M    M    M    M    M
   7Connecticut                                        112             25.4708169      22   2   2   2   2   2 Assistant Superintendent                                               Elementary Teacher                                                     Health Teacher                                                         Health Teacher                                                         Assistant Superintendent                                                  2    A    A    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    C    C    1    1    C    1    1    C    1    1    1    1    1    C    C    C    1    1    1    1    1    C    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    2    2    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    2    1    3    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    1    1    1    2    A    A    A    A    A    A    A    A    A
   8Delaware                                           113             17.0829139      41   2   2   2   2   2 Director of Instruction                                                Supervisor of Elementary Instruction                                   Supervisor of Secondary Instruction                                    Supervisor of Secondary Instruction                                    Director of Instruction                                                   1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    2    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    2    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    1    1    1    1    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    2    1    1    1    1    1    2    2    2    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    1    2    1    2    2    2    1    1    1    1    1    1    1    2    2    1    2    2    2    2    2
   8Delaware                                           114             21.1352441      21   1   1   1   1   1 Supervisor of Curriculum & Instruction                                 Supervisor of Curriculum & Instruction                                 Supervisor of Curriculum & Instruction                                 Supervisor of Curriculum & Instruction                                 Supervisor of Curriculum & Instruction                                    1    1    2    1    1    1    1    1    1    1    1    2    2    1    1    1    1    2    2    2    2    1    2    1    1    2    2    2    2    2    1    A    A    A    2    1    2    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    2    1    1    2    1    1    1    1    1    1    2    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    1    1    2    1    1    1    1    1    1    2    1    1    1    2    1    1    1    1    1    1    1    1    2    2    1    1    1    1    2    2    2    2    1    1    1    1    2    2    2    2    2    2    1    1    1    1    1    2    2    2    1    1    1    1    2    2    2    2    2    1    1    1    2    1    1    2    2    2    2    2    1    1    2    1    2    2    1    1    2    1    1    1    1    1    2    1    1    1    2    1    2    1    2    2    2    2    1    1    1    1    1    1    2    1    1    2    2    2    2    2    1    2    2
   9District Of Columbia                               115              1.0232854      11   2   2   2   2   2 Health Education Manager                                               Health Education Manager                                               Health Education Manager                                               Health Education Manager                                               Health Education Manager                                                  1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    1    1    1    1    1    F    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    1    1    1    1    1    F    2    1    1    2    1    2    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    2    F    1
  10Florida                                            116              1.5172535      21   2   2   2   2   2 Instructional Facilitator                                              Instructional Facilitator                                              Instructional Facilitator                                              Instructional Facilitator                                              Instructional Facilitator                                                 1    1    1    1    1    1    1    1    1    1    1    1    C    1    2    1    1    1    1    1    1    2    2    1    2    2    2    2    2    2    2    1    2    1    1    1    1    1    C    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    2    2    2    2    1    2    1    1    1    C    1    1    1    1    1    C    C    1    1    1    1    1    1    1    1    1    C    2    2    2    2    1    1    1    1    2    2    1    2    2    2    2    2    2    2    1    2    1    1    1    C    1    1    1    1    C    C    C    1    1    1    1    1    1    1    1    2    1    2    2    2    2    1    1    1    1    2    2    1    2    2    2    2    2    2    2    1    1    1    2    1    1    1    1    1    1    1    2    1    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    A    A    A    A    A    A    A    A
  10Florida                                            117             21.1725824      22   2   2   2   2   2 Curriculum Specialist                                                  Curriculum Specialist                                                  Curriculum Specialist                                                  Curriculum Specialist                                                  Curriculum Specialist                                                     1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    1    1    1    1    1    1    1    1    1    2    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    1    2    2
  10Florida                                            118              1.5172535      21   2   2   2   2   2 Life Skills & Special Programs                                         Life Skills & Special Programs                                         Life Skills & Special Programs                                         Life Skills & Special Programs                                         Life Skills & Special Programs                                            1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1    1    2    1    1    1    1    1    2    2    1    1    1    1    1    2    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    2    1    1    1    1    2    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    2    1    1    1    1    2    2    2    2    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    2    1    1    2    1    2    1    2    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2
  10Florida                                            120              1.0232854      11   2   2   2   2   2 Health/Physical Education Specialist                                   Health/Physical Education Specialist                                   Health/Physical Education Specialist                                   Health/Physical Education Specialist                                   Health/Physical Education Specialist                                      1    1    1    1    2    2    2    2    2    2    1    2    2    1    1    2    1    2    1    2    1    2    2    1    2    2    2    2    2    2    2    1    2    1    2    2    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    2    1    1    2    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    2    2    2    1    2    1    1    2    1    1    1    1    1    2    1    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    2    2    1    1    1    1    1    1    2    2    1    2    1    2    1    2    2    2    1    1    1    1    1    2    2    2    1    1    2    2    2    2    1    1    1    1    1    1    1    2    1    1    1    1    1    2    2    1    1    1    2    1    2    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    2    1    2
  10Florida                                            121             17.0488615      42   M   2   M   M   M Assistant Superintendent                                               Director of Elementary Education                                       Director of Secondary Education                                        Director of Secondary Education                                        Assistant Superintendent                                                  M    M    M    1    1    1    2    1    1    1    1    1    1    1    1    1    C    C    C    C    1    C    C    1    1    C    C    C    C    C    C    C    C    C    1    1    2    2    2    2    1    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M    M
  10Florida                                            123              1.5172535      21   2   2   2   2   2 Program Planner                                                        Program Planner                                                        Program Planner                                                        Program Planner                                                        Program Planner                                                           1    2    2    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    1    1    2    2    2    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    1    1    1    2    2    2    1    2    2    A    A    A    A    A    A    A    A    A    2    2    2    2    2    2    2    2    2    2    1    2    2    2    2    2    2    2    A    A    A    1    1    1    1    1    2    2    2    1    2    1    1    1    1    1    1    1    1    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    2    1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    C    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    2    1    1    2    2    2    2    2
  11Georgia                                            124             16.7704801      41   2   2   2   2   2 Curriculum Director                                                    Health Teacher                                                         Athletic Director MS/PE Teacher                                        Health Teacher                                                         Health Teacher                                                            1    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    2    1    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    2    A    A    A    1    1    1    1    1    2    1    2    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2    1    1    2    1    1    1    1    2    1    1    1    1    1    2    2    2    2    2    2    2    1    2    2    2    1    2    1    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    1    1    2    2    2    2    2    2    2    1    2    2    1    1    2    2    2    2    1    1    2    2    2    2    2    2    2    1    1    1    1    1    2    2    2    1    1    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    1    2    2    1    1    2    2    2    2    2    2    1    2    2    2    2    1    2    A    A    A    A    A    A    A    A
  11Georgia                                            125             17.0829139      41   1   1   1   1   1 HE Respondent                                                          HE Respondent                                                          HE Respondent                                                          HE Respondent                                                          HE Respondent                                                             1    2    2    1    2    2    1    1    1    1    1    1    1    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    1    1    1    1    1    2    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    2    2    1    2    1    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    2    1    2    2    2    1    1    1    2    1    1    1    1    1    1    1    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    3    2    2    2    1    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    2    A    A    A    A    A    A    A    A    A
